id,benchmark_name,test_case,value,lowerBound,upperBound,ci,platform,commit,source
82,OnNext,Specific observer OnNext,0.279641,0.278601,0.284678,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
83,OnNext,Dynamic observer OnNext,1.80884,1.74277,1.93544,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
84,Subscriber construction,Make subsriber,17.5766,17.5673,17.5944,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
85,Subscriber construction,Make copy of subscriber,3.34904,3.34337,3.37454,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
86,Subscriber construction,Transform subsriber to dynamic,19.8739,19.1423,21.2302,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
87,Observable subscribe,Specific observable subscribe specific observer,18.8611,18.2339,20.0063,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
88,Observable subscribe,Specific observable subscribe dynamic observer,24.6709,24.1047,26.344,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
89,Observable subscribe,Dynamic observable subscribe specific observer,42.0567,41.9581,42.3619,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
90,Observable subscribe,Dynamic observable subscribe dynamic observer,27.044,26.104,28.7477,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
91,Observable lift,Specific observable lift specific observer,24.5232,23.3945,26.3063,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
92,Observable lift,Specific observable lift dynamic observer,31.4647,29.6828,34.923,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
93,Observable lift,Dynamic observable lift specific observer,46.5789,46.5203,46.8325,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
94,Observable lift,Dynamic observable lift dynamic observer,43.0018,40.7694,46.1667,0.95,Linux GCC,enable buildcache fo... (2d81bf76),rpp
95,Observable construction,Specific observable construction,1.0052,1.00372,1.01184,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
96,Observable construction,Dynamic observable construction,21.4011,21.3537,21.5236,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
97,Observable construction,Specific observable construction + as_dynamic,20.9225,20.8393,21.0807,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
98,Observer construction,Specific observer construction,1.00533,1.00345,1.01395,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
99,Observer construction,Dynamic observer construction,21.3607,21.3021,21.483,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
100,Observer construction,Specific observer construction + as_dynamic,20.7104,20.6421,20.8219,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
101,OnNext,Specific observer OnNext,0.670402,0.668944,0.676242,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
102,OnNext,Dynamic observer OnNext,2.01039,2.00683,2.02655,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
103,Subscriber construction,Make subsriber,22.8376,22.7507,23.1122,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
104,Subscriber construction,Make copy of subscriber,4.41172,4.40522,4.44068,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
105,Subscriber construction,Transform subsriber to dynamic,24.1024,24.0106,24.2341,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
106,Observable subscribe,Specific observable subscribe specific observer,28.1574,28.0419,28.3164,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
107,Observable subscribe,Specific observable subscribe dynamic observer,30.9993,30.8165,31.2539,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
108,Observable subscribe,Dynamic observable subscribe specific observer,54.0308,53.7545,54.4567,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
109,Observable subscribe,Dynamic observable subscribe dynamic observer,32.6659,32.5551,33.06,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
110,Observable lift,Specific observable lift specific observer,31.1729,31.0383,31.3558,0.95,Linux CLANG,enable buildcache fo... (2d81bf76),rpp
